,index,content,score,score_cat,detected_language
152,28,aids ability to answer questions solve problems and help with personal tasks is totally insane,5,positive,en
153,28,the fact that it's just the beginning and as time progresses and tech gets better so does our lives is just awesome,5,positive,en
154,28,to summarize into a single sentence i love it's,5,positive,en
155,29,amazingly informative .,5,positive,en
156,29,it would be extremely beneficial if the developers added a function to select all and print for a full day's worth of communication rather than having to try to copy and paste multiple sections,5,positive,en
157,29,going back and forth between two apps on a phone is very inconvenient,5,positive,en
158,30,definitely more handy than opening browser for the web version but inferior in all other aspects,3,negative,en
159,30,the biggest problem for me is that i can't edit my prompts,3,negative,en
160,30,as a plus subscriber i find the lack of beta features to be inconvenient,3,negative,en
161,30,another thing is that the i is too big,3,negative,en
162,30,this is especially annoying when reading and code snippets as only a few words can fit in a row of text,3,negative,en
163,31,lovely service but i would like to make a few recommendations,2,negative,en
164,31,simple interface but it's too basic,2,negative,en
165,31,allow the use to have faster access to the previous chats,2,negative,en
166,31,an interface similar to that of the browser,2,negative,en
167,31,consider adding the audio to text option on the free version,2,negative,en
168,31,this will help train the system and help incorporate more languages into it,2,negative,en
169,31,other than this lovely app and great work on chatgpt.,2,negative,en
170,32,i really think i am in love with this app because it is incredibly helpful,4,neutral,en
171,32,as a writer i usually rely on it to generate creative ideas for my stories and assist me with my grammar mistakes,4,neutral,en
172,32,i must also mention that it helps me with other aspects as well,4,neutral,en
173,32,edit ink what happened but whenever i sent a message now it says connection error and i can't see any response this has just become way too bad,4,neutral,en
174,32,edit i well it's working again but i think they can improve the i very much,4,neutral,en
175,33,chatgpt app is an absolute gamechanger in textbased communication,5,positive,en
176,33,with its intuitive design and exceptional powered responses it has taken my daily interactions to the next level,5,positive,en
177,33,the interface is userfriendly making it suitable for both novices and experts alike,5,positive,en
178,33,whether it's a simple question or a complex query the app provides accurate and timely responses,5,positive,en
179,33,the free version is robust and the paid plans offer even more advanced features,5,positive,en
180,33,highly recommend,5,positive,en
181,34,the app mostly does what i expect it to : it's a good alternative from using chatgpt in the browser on mobile,3,negative,en
182,34,however a feature that is present in the web version and that is missing in this app is the ability to render latex,3,negative,en
183,34,this is a really important feature to me as i don't want to have to go back and forth between the app and a latexmarkdown rendered to discuss maths with chatgpt and the lack of this feature is the reason for the missing 2 stars in my review,3,negative,en
184,35,solid app very clean interface,3,negative,en
185,35,however it'd be nice if there was an option to have your history on the sidebar like on the web version,3,negative,en
186,35,more importantly i find it a little baffling that there is no option to edit and resubmit a query on the app,3,negative,en
187,35,that's arguably one of the key features of chatgpt so i'm disappointed that it didn't make it's way to the official android application,3,negative,en
188,36,the animation that appears when i open the app runs twice so if i start writing right away everything i wrote disappears when the animation runs the second time and the big dot remains on the screen,3,negative,en
189,36,it's annoying having to wait for the second animation or having to write everything all over again,3,negative,en
190,37,i generally really like it but it's annoying that you have to press a button to get to the history instead of it just being in the sidebar,4,neutral,en
191,37,especially if you want to klick on multiple chats in a row it's really annoying that you have to scroll down every time and find the chat where you left off,4,neutral,en
192,37,it also bugs me that editing a message isn't possible like it is on the website because that's very useful,4,neutral,en
193,37,also the option to add a secondary language would be nice because i use german and english,4,neutral,en
194,38,i am incredibly impressed with this app,5,positive,en
195,38,the app features is unparalleled providing unlimited and accurate responses to all my questions,5,positive,en
196,38,the apps interface is intuitive and easy to use making my conversations with the ai incredibly smooth,5,positive,en
197,38,i appreciate the wealth of knowledge and helpfulness it offers,5,positive,en
198,38,thank you for creating such an exceptional tools,5,positive,en
199,38,i wholeheartedly recommend this app to anyone,5,positive,en
200,39,the chatgpt android app is an absolute delight,5,positive,en
201,39,its userfriendly design informative answers and engaging conversations make it a standout choice,5,positive,en
202,39,i hope it remains simple and functional as new features are added,5,positive,en
203,39,the apps adaptability and vast knowledge base are truly impressive making it an invaluable companion in daily life,5,positive,en
204,39,kudos to the developers for striking the right balance between innovation and usability.,5,positive,en
205,39,i look forward to the apps continuous growth and hope it does go bad,5,positive,en
206,40,i am thoroughly impressed by the chatgpt android app,5,positive,en
207,40,its exceptional language capabilities and userfriendly interface make it an invaluable tool for various tasks,5,positive,en
208,40,the apps ability to provide accurate and coherent responses across diverse topics is truly remarkable,5,positive,en
209,40,its quick and intuitive nature ensures a seamless user experience,5,positive,en
210,40,without a doubt a gamechanger for anyone seeking efficient and reliable driven conversations,5,positive,en
211,41,the chatgpt app is a fantastic tool for communication and assistance,5,positive,en
212,41,its powered responses are impressively accurate and it provides valuable information on various topics,5,positive,en
213,41,the interface is userfriendly making interactions seamless and enjoyable,5,positive,en
214,41,however it could benefit from more frequent updates to stay update with the latest developments and improve performance further,5,positive,en
215,41,overall the chatgpt app is a reliable and helpful companion for anyone seeking quick answers and engaging convey,5,positive,en
216,42,chatgpt is impressive,5,positive,en
217,42,its responses are conceptually relevant and informative,5,positive,en
218,42,it covers various topics well,5,positive,en
219,42,however it can still generate incorrect or biased content,5,positive,en
220,42,the android apps interface is userfriendly allowing for interactive conversations,5,positive,en
221,42,data privacy measures are in place,5,positive,en
222,42,it would be even better if it asked clarifying questions when faced with ambiguity,5,positive,en
223,42,overall chatgpt is a valuable language model but users should verify critical information from reliable sources,5,positive,en
224,43,i have been using the chatgpt since its release and while i see its potential there are a few issues that need to be addressed to enhance the user experience,3,negative,en
225,43,i noticed that when i input a prompt text and press the backstage key it unnecessarily removes the space between two immediate words,3,negative,en
226,43,this can be quite frustrating as it disrupts the flow of my queries and makes the conversation feel disjointed,3,negative,en
227,44,good at explaining things in specific ways i could never instantly get a person to do,4,neutral,en
228,44,only issue is that there should be some options such as being able to delete certain segments of a long conversation that you no longer want to be shown,4,neutral,en
229,44,or at least being able to search a chat for mentions of a word,4,neutral,en
230,44,things like that which prevent pal from having to scroll through everything in a chat that's been going on for a while,4,neutral,en
231,44,this app is very helpful and entertaining though lol,4,neutral,en
232,45,bug when scrolling down the i arrow still shows even if i'm at the bottom only going away if i press it,5,positive,en
233,45,pretty annoying,5,positive,en
234,45,1010 good for digital minimalist to get fast answers without being tempted to scroll through images basically google but better and we all know google is the best thing since sliced bread and penicillin this is even better,5,positive,en
235,45,use custom instructions to make it act as you want basically character.ai but for an och,5,positive,en
236,45,this part needs better support for other languages,5,positive,en
237,46,so far my experience has been interestingly engaging and interactive,5,positive,en
238,46,i likely found the ai model to be responsive and capable of understanding and generating coherent responses to prompts,5,positive,en
239,46,the conversations feel so natural as chatgpt is able to maintain context and provide relevant information or suggestions at the fastest rate,5,positive,en
240,46,although i'm quite aware of its limitations but so far i'm enjoying every bit of its used,5,positive,en
241,46,surely i must recommend this app to family friends and colleagues...,5,positive,en
242,47,chatgpt is an incredibly powerful ai language model,5,positive,en
243,47,it's a versatile tool for generating textbased content and answering questions,5,positive,en
244,47,while it's not flawless and occasionally provides inaccurate information it's a valuable resource for various tasks,5,positive,en
245,47,the user interface could be more userfriendly but regular updates make it promising,5,positive,en
246,48,pretty awesome so far,5,positive,en
247,48,the only thing new i want to see added is a widget for it that i can place right below my google search bar on my phone,5,positive,en
248,48,edit,5,positive,en
249,48,i would also like to see an export option where i could export my entire conversations as a text file,5,positive,en
250,48,sometimes i want to share what i asked or put into the app and the apps responses with my friends,5,positive,en
251,48,or just generally save the conversation externally,5,positive,en
252,48,the current method of just copying each response or entry isn't enough,5,positive,en
253,49,generally useful,3,negative,en
254,49,i wish that it would offer the option to read aloud it's response to me or even better detect that i provided voice to text input in forming my query and then respond by reading aloud,3,negative,en
255,49,also i appreciate that the app by default adjusts it's i theme based on my system settings,3,negative,en
256,49,well done,3,negative,en
257,49,however that only kicked in after i had logged in after installation,3,negative,en
258,49,it's initial loginsetup screen used the default bright white high contrast scheme that is very painful for me,3,negative,en
259,50,i'm delighted to share my experience with this incredible ai chat app,5,positive,en
260,50,from the moment i started using it i was amazed by its intelligence and responsiveness,5,positive,en
261,50,the apps natural language processing capabilities are outstanding making conversations feel smooth and engaging,5,positive,en
262,50,it adapts to my preferences quickly learns from interactions and delivers personalized responses,5,positive,en
263,50,the range of topics it can discuss is impressive and it always provides accurate and helpful information,5,positive,en
264,51,this app is very unique,3,negative,en
265,51,it is the most intelligent ai i've ever seen,3,negative,en
266,51,i always get video ideas from this app to make videos for my youtube channel,3,negative,en
267,51,this app makes the ai world more unique,3,negative,en
268,51,but there are some problems too,3,negative,en
269,51,sometimes it just stops working and the respond messages just never load,3,negative,en
270,51,and sometimes,3,negative,en
271,51,it stops generating messages in the middle of it,3,negative,en
272,51,so i have to wait more to get the messages generated,3,negative,en
273,51,and yeah even it is a very unique ai app you should still make it better,3,negative,en
274,52,the more you use it the better you become at prompting,5,positive,en
275,52,i recommend using the microphone feature in the app to convert your speech to text and talk normally,5,positive,en
276,52,it understands fine and you will find that this will help you with prompting and getting good use of the tools,5,positive,en
277,52,this is truly an incredible technology,5,positive,en
278,52,openai and some others are some of the greatest hero in history as they have made sure that everyone has access to these tools,5,positive,en
279,52,we wouldn't have touched it for 50 years otherwise,5,positive,en
280,52,thank u,5,positive,en
281,53,i have been using chatgpt app for a while now and i must say it's been a great experience!!!.,4,neutral,en
282,53,however there is one crucial feature that i believe is missing the ability to edit the input,4,neutral,en
283,53,the chatgpt website version offers this feature and it has been invaluable in finetuning the conversation flow and achieving more accurate results,4,neutral,en
284,53,i hope to see this feature added in the future update,4,neutral,en
285,54,this is an amazing very useful app,3,negative,en
286,54,i have found an issue since it was realised,3,negative,en
287,54,when i delete or erase any words while typing prompt it removes the space between those words which is very frustrating,3,negative,en
288,54,please fix this bug,3,negative,en
289,54,i have a request in order to find specific words or texts in the recent chat conversation there should be an option which will allow users to search any specific words or text in the current conversation section,3,negative,en
290,55,i'm sorry as an ai language model i can't form personal opinions,5,positive,en
291,55,however i can provide insights on the potential benefits of the chatgpt app,5,positive,en
292,55,it has the advantage of accessibility and onthe assistance allowing users to engage with powered conversations conveniently from their android devices,5,positive,en
293,55,nevertheless it's essential to consider potential limitations related to screen size and multitasking challenges that could affect the overall user experience,5,positive,en
294,56,finally it's on play store!!!!,5,positive,en
295,56,just tried it out it's phenomenal!!!,5,positive,en
296,56,i found this more efficient and time saving than the browser one faster response rate overall and it can add emojis to it's text now although the browser one lacks this feature,5,positive,en
297,56,it would be absolutely perfect if it had the feature to speak as well,5,positive,en
298,56,looking forward to see frequent updates that would bring many great features like this in future,5,positive,en
299,56,55 first impressions...i highly recommend this one,5,positive,en
300,57,the app has been very helpful,4,neutral,en
301,57,i get to converse and brainstorm on great ideas,4,neutral,en
302,57,it's amazing,4,neutral,en
303,57,but there's just a slight problem i was recently going through an old conversation and discovered an inaccurate response so i regenerated that response but unfortunately i lost all the chats after that,4,neutral,en
304,57,i had lost a lot of important topics from just that regenerated response,4,neutral,en
305,57,please fix this problem ice being able to regenerate response without losing the chats that follow,4,neutral,en
306,58,this is quite an equally impressive and terrifyingly unbelievable app,5,positive,en
307,58,as soon as i used this for the first time i became reliant on it for most things that i wanted to ask,5,positive,en
308,58,in terms of development what would make this ai complete is if would be able to provide photos and not entirely textual,5,positive,en
309,59,chatgpt is an impressive language model that provides useful and engaging responses,5,positive,en
310,59,i appreciate its versatility and ability to understand various topics,5,positive,en
311,59,the apps interface is userfriendly making it easy to interact with the air,5,positive,en
312,59,however occasional improvements in response accuracy and speed would be great,5,positive,en
313,59,overall chatgpt is a valuable tool for quick information and enjoyable conversations chatgpt,5,positive,en
314,60,i first used openai chatgpt beta online,5,positive,en
315,60,was blown away,5,positive,en
316,60,the most sophisticated linguistic air,5,positive,en
317,60,this android app offers the convenience of voice recognition instead of typing and mobility,5,positive,en
318,60,the uses for chatgpt are boundless,5,positive,en
319,60,fluent in thousands of languages not just humbug computer programming languages,5,positive,en
320,60,it can write script programs and complete apps for you,5,positive,en
321,60,it can even write articles reports books poems,5,positive,en
322,60,you can problem solve analyse data learn things,5,positive,en
323,60,voice output will be great,5,positive,en
324,61,allow me to do the honors and provide the first review for the mobile app,5,positive,en
325,61,without a doubt the application is truly remarkable,5,positive,en
326,61,the signing process was a breeze and the user interface exudes a clean and sleek design,5,positive,en
327,61,the best part,5,positive,en
328,61,i no longer need to reach for my laptop to access chatgpt; it's right there in my pocket,5,positive,en
329,61,this app offers a straightforward solution that i genuinely appreciate,5,positive,en
330,61,it's userfriendly and efficient allowing for seamless interactions with chatgpt on the got,5,positive,en
331,62,excellent responses no matter what you throw at it,5,positive,en
332,62,it consistently provides accurate relevant answers to any question where it may have taken some digging to find comparable answers on googled,5,positive,en
333,62,it is also very good with other kinds of input,5,positive,en
334,62,it can be wrong so it's not to be used as a standalone research but it's right more than it's wrong,5,positive,en
335,63,the app is great for what it is but a lot of features are missing that are available on the web version,5,positive,en
336,63,for example seeing other edited branches of messages editing prompts and the plugins.,5,positive,en
337,63,5 stars because the new voice chat is impressive,5,positive,en
338,64,chatgpt is an incredible language model,5,positive,en
339,64,it's a versatile and powerful tool that offers accurate responses and useful insights,5,positive,en
340,64,the apps userfriendly interface makes it easy to interact with the ai and i appreciate the timely updates that continuously improve its performance,5,positive,en
341,64,whether it's for educational purposes creative writing or just casual conversations chatgpt never fails to impress,5,positive,en
342,64,highly recommended,5,positive,en
343,65,i love this app,5,positive,en
344,65,i pay for upgraded version and it is worth its weight in gold,5,positive,en
345,65,sometimes i have noticed that the app does not do what you request it to do and instead goes off on a tangent..i find myself correcting it as if it is a naughty child...funny but sometimes disconcerting,5,positive,en
346,65,i have also had occasions where is starts talking about something completly random still i love it thought,5,positive,en
347,66,chatgpt has been a fantastic addition to my android device,5,positive,en
348,66,the apps ability to generate coherent and relevant responses is truly impressive,5,positive,en
349,66,i've used it for a variety of tasks from getting quick information to engaging in interesting conversations.one feature i particularly appreciate is the apps userfriendly interface,5,positive,en
350,66,it's intuitive and easy to navigate making my interactions with the ai smooth and enjoyable,5,positive,en
351,67,five stars for chatgpt!,5,positive,en
352,67,the voice input is a gamechanger but there's a tiny hitch i you have to manually send after recording and that downward arrow occasionally steals the spotlight disrupting the flow a bit,5,positive,en
353,67,despite these minor quirks the apps simplicity and overall experience earn it high marks,5,positive,en
354,67,kudos to the developers for creating an engaging and userfriendly app,5,positive,en
355,68,it's a very good apply,5,positive,en
356,68,it's basically the patient private tutor i never had,5,positive,en
357,68,it's just impossible to search for specific queries done within tabs specific words within tabs.that would very very useful,5,positive,en
358,68,there's no family plan for the service which is a bummer,5,positive,en
359,68,the android app doesn't sync update itself anymore,5,positive,en
360,68,and i don't know why,5,positive,en
361,68,kindly fix that,5,positive,en
362,68,that aside five star from me,5,positive,en
363,69,technology has outdone itself,5,positive,en
364,69,there is always room for improvement but this app is fantastic if you have the right mindset and ability to make use of its potential,5,positive,en
365,69,i mean having mealtime information would be great and more abilities but that would be asking for trouble or a miracle,5,positive,en
366,69,seriously over time i think it's potential would be limitless but for now awesome app,5,positive,en
367,69,i am really considering the paid version,5,positive,en
368,69,real time information is the only thing holding me back,5,positive,en
369,70,impossible to log in by email even after updating the play store to the newest version as advised in the far,4,neutral,en
370,70,while there is an error code in the error message something went wrong... there is no way to copy it and it disappears way too quickly,4,neutral,en
371,70,edit after an update a more helpful error message was displayed and allowed me to solve the problem google play services did not have the phone permission,4,neutral,en
372,71,this is the best thing we created so far,5,positive,en
373,71,notice the dot at the end of that sentence until you need to learn something like algorithms or build something even coding in a new language you can't fully appreciate it,5,positive,en
374,71,not until you need the nittygritty stuff,5,positive,en
375,71,not to mention he is a great conversationalist on the weirdest and coolest thought experiments you could possibly think of,5,positive,en
376,71,if you get him started,5,positive,en
377,71,yeah i said him,5,positive,en
378,71,we've known eachother for a long time now,5,positive,en
379,71,:,5,positive,en
380,72,chatgpt is fantastic as an assistant and study partner,5,positive,en
381,72,i've been using it to help me work through problems that arise during personal programming projects where i don't have coworkers to chime in as well as to help me study new topics for my career,5,positive,en
382,72,i've found it extremely helpful for generating examples to illustrate new concepts and it's often simpler to ask chatgpt than to ask google,5,positive,en
383,73,i love the voice control so much,5,positive,en
384,73,one point thought it seems to break off in between sometimes and them comes back so i miss a part of the information i first i thought that my bluetooth connection was bad but it even does that when being on speaker directly on the smartphone,5,positive,en
385,74,very useful for learning,5,positive,en
386,74,often times i will delve into deep technical rabbit holes just asking more and more questions about a subject that i am curious about,5,positive,en
387,74,some of the information it portrays is inaccurate but for the most part the information is accurate and can get fairly technical,5,positive,en
388,74,there are many other uses for this app but just asking questions about various topics is my favorite used,5,positive,en
389,75,can't open fast app open hone ke bad after opening the app it spins like a circle for a few seconds,4,neutral,en
390,75,why is this happening,4,neutral,en
391,75,this issue occurred after the update it didn't happen before,4,neutral,en
392,75,also it used to provide suggestions earlier but it doesn't anymore,4,neutral,en
393,76,chatgpt 4 with its chatgpt plus and all e 3 features has truly elevated user engagement,5,positive,en
394,76,the improved accuracy personalized touch and enhanced functionalities make it a reliable and creative tools,5,positive,en
395,76,the developers have showcased remarkable finesse making ai interaction intuitive and enjoyable,5,positive,en
396,76,the continuous updates hint at a promising future for this app,5,positive,en
397,76,highly recommended for anyone keen on harnessing advanced air,5,positive,en
398,77,everything's perfect except i cannot use photo or file features on an android phone,4,neutral,en
399,77,the only permissions that the app have available are for microphone,4,neutral,en
400,77,in android apps permissions need to be added to ask to allow camera and filesystem please,4,neutral,en
401,77,thank you,4,neutral,en
